capability_id,semantic_family,subject_scope,registry_used,evidence_level,coverage_scope,state_effect_scope,differential_test_status,oracle_backend,executed_vectors,total_vectors,mismatch_found,evidence_path,evidence_sha256,full_intrinsic_proof
intrinsic:neon:vqmovn_high_s32:c8fb199ab6965176,I2-integer-saturating-narrow-shift,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;FPSR.QC-excluded,passed-sampled,native-aarch64-neon-c-intrinsics,7,7,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,4987e70e8911dbcc92c7120ea9dc2f06b0178cad54da4088a69c479b381f9861,no
intrinsic:neon:vqmovn_s16:d425ebc0aea3e290,I2-integer-saturating-narrow-shift,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;FPSR.QC-excluded,passed-sampled,native-aarch64-neon-c-intrinsics,8,8,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,a640937cb75593ae4a62bb53d7d86992f0f4383dd21f1540c7b801da86b29114,no
intrinsic:neon:vqmovn_s32:8f9d189709354e77,I2-integer-saturating-narrow-shift,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;FPSR.QC-excluded,passed-sampled,native-aarch64-neon-c-intrinsics,8,8,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,2dcefd0ae428c68665581e6a6470d3283d16e963d16184579631c87db37b403f,no
intrinsic:neon:vqmovun_s16:6025c6fb1523793e,I2-integer-saturating-narrow-shift,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;FPSR.QC-excluded,passed-sampled,native-aarch64-neon-c-intrinsics,7,7,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,2b3a88b70ebf339952091629d8b580f7c9ea1442909b37d94cc0fd4ebaa0b2fc,no
intrinsic:neon:vqrdmulhq_s16:c1d2736207f1cec3,I3-integer-mode-sensitive-rounding,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;FPSR.QC-excluded,passed-sampled,native-aarch64-neon-c-intrinsics,8,8,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,ab04f2faaa080bb2d03cbba7e065823c0a2ef23d59612749f55bc39e557c00bd,no
intrinsic:neon:vqsubq_s32:7371353cb3766fd6,I2-integer-saturating-narrow-shift,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;FPSR.QC-excluded,passed-sampled,native-aarch64-neon-c-intrinsics,7,7,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,0af87ecbed5e071709954cc68bc78571f54a238ef92b2519f5c97a1d5e5a9c33,no
intrinsic:neon:vrshlq_s32:3e1dfee0c446d378,I3-integer-mode-sensitive-rounding,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;FPSR.QC-excluded,passed-sampled,native-aarch64-neon-c-intrinsics,12,12,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,9a3cc91904e2854cb835175b3313269ceb32bb1da668e42cf9c90f449d59dcd4,no
intrinsic:neon:vshlq_n_s16:64ec4d7d25af9130,I2-integer-saturating-narrow-shift,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;no-sticky-saturation-state-claimed,passed-sampled,native-aarch64-neon-c-intrinsics,6,6,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,aa637f8e36820be2e6badde4c242181805c3311583600a14c797d2863d7af845,no
intrinsic:neon:vshrn_n_u32:fde493588ff45626,I2-integer-saturating-narrow-shift,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;no-sticky-saturation-state-claimed,passed-sampled,native-aarch64-neon-c-intrinsics,14,14,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,766773a054b6c91a9dbe9d5ddc751b802447fad89e50364bbb1fbb6d0f4f087e,no
intrinsic:rvv:__riscv_vnclip_wx_i16m4:1c7020c4a858e888,I3-integer-mode-sensitive-rounding,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;vxsat-excluded,passed-sampled,spike-rvv-c-intrinsics,10,10,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,3199d1a9bca1e235a8ac394e42b4acc1215f62359383ff757d91c3f3ba0b1859,no
intrinsic:rvv:__riscv_vnclip_wx_i16m4:2171a217d19c2fd5,I3-integer-mode-sensitive-rounding,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;vxsat-excluded,passed-sampled,spike-rvv-c-intrinsics,9,9,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,460906a0073f49e9b5617eb9c3699ef302749f84c02933632b702db7b5581206,no
intrinsic:rvv:__riscv_vnclip_wx_i16m4:4755a833155155f1,I3-integer-mode-sensitive-rounding,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;vxsat-excluded,passed-sampled,spike-rvv-c-intrinsics,8,8,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,30686eeb8912026a159d39791395ca2c659451566ee04eb01dec4599125eb421,no
intrinsic:rvv:__riscv_vnclip_wx_i8m2:9fcd91c7cbc42b15,I3-integer-mode-sensitive-rounding,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;vxsat-excluded,passed-sampled,spike-rvv-c-intrinsics,9,9,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,6f871372149a7f39a74591a9da7a30053ce237938fd6b4930b79dfd2d95f739a,no
intrinsic:rvv:__riscv_vnclipu_wx_u8m2:907ce31c553968ed,I3-integer-mode-sensitive-rounding,current-P1-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;FPSR.QC-and-vxsat-excluded;inactive-lanes-tail-mask-memory-and-full-ISA-refinement-excluded,active-lane-value-only;vxsat-excluded,passed-sampled,spike-rvv-c-intrinsics,7,7,no,verification/elementwise-compiler/IntegerDifferentialAudit.json,f075189fb318078ce709a78600a674b395d35ad4bf1618bff8e81b1e8f8b1bbe,no
