capability_id,semantic_family,architecture,spelling,structural_operation,evidence_level,semantic_correspondence_status,audit_status,c_call_sites,manifest_bindings,immediate_values,active_length_call_count,negative_broadcast_calls,evidence_path,evidence_sha256,isa_correctness_proof
intrinsic:neon:vcombine_s16:7af816a36b354ceb,S1-structural-plain,neon,vcombine_s16,concatenate,L2-traceable-lowering,not-independently-validated,passed,5,2,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,c1047e38428db042c58f750f41fc94a697d7adfe6f6a357227d3b4d98081432b,no
intrinsic:neon:vcombine_s8:ce04da71bb59db90,S1-structural-plain,neon,vcombine_s8,concatenate,L2-traceable-lowering,not-independently-validated,passed,1,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,819fb8906b2e172560c805e483b66b578bf402b7542778e98d61383bdee26ac8,no
intrinsic:neon:vcombine_u16:4f411e6cf364fddc,S1-structural-plain,neon,vcombine_u16,concatenate,L2-traceable-lowering,not-independently-validated,passed,4,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,cb0027dac21665c0f94a0e794cccb136fba047e4954e5d7a3fda76e3e8182780,no
intrinsic:neon:vdup_n_s8:6c714742f495ae3b,S1-structural-plain,neon,vdup_n_s8,broadcast,L2-traceable-lowering,not-independently-validated,passed,6,2,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,2ba5ced6ac089c562c3403af49db3c1ff52eb6232ab0dc9918366ea44a549e6a,no
intrinsic:neon:vdup_n_u8:2fc0eb1a463604b1,S1-structural-plain,neon,vdup_n_u8,broadcast,L2-traceable-lowering,not-independently-validated,passed,4,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,560e3f47e9b7771c1622808e7f6edf64f09d30734dd528ed8f3a557c5db54a24,no
intrinsic:neon:vdupq_n_f32:8249edeb665b3be9,S1-structural-plain,neon,vdupq_n_f32,broadcast,L2-traceable-lowering,not-independently-validated,passed,7,5,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,4a63cfd3033cd0ae9cebe4a30a9ea1753d06c27644147c4e9f52854042c95a44,no
intrinsic:neon:vdupq_n_s16:357a3474c075780c,S1-structural-plain,neon,vdupq_n_s16,broadcast,L2-traceable-lowering,not-independently-validated,passed,11,6,,0,5,verification/elementwise-compiler/StructuralDifferentialAudit.json,ef0f68a18dbcc0a52aff6dbd4b258335d8aa8eb42358a707cde1ac95fa2dfc71,no
intrinsic:neon:vdupq_n_s32:526258ccf3ffaabb,S1-structural-plain,neon,vdupq_n_s32,broadcast,L3-generator-mutation,generator-boundary-validated-only,passed,7,3,,0,2,verification/elementwise-compiler/StructuralDifferentialAudit.json,e7796a5c3692aa499d4a0e0962d6354e0849e1afe554515aa4b70919b4cb405a,no
intrinsic:neon:vdupq_n_s8:8683fd30871e6949,S1-structural-plain,neon,vdupq_n_s8,broadcast,L2-traceable-lowering,not-independently-validated,passed,4,2,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,0e9d1382da6873b6f21dd3d86f5a176715cb5be246d65bb00e9bfe347f7ff5b2,no
intrinsic:neon:vdupq_n_u16:3b7bf57d9beb8fa3,S1-structural-plain,neon,vdupq_n_u16,broadcast,L2-traceable-lowering,not-independently-validated,passed,4,1,,0,0,verification/elementwise-compiler/StructuralDifferentialAudit.json,e70ce05de77c16126c84e35c8c484dad8ef8d81cfea98eab95408a96045203b2,no
